	SRA	newname
441	SRR6519689	smartseq_BladderTissue_bladder_cell_441
442	SRR6521693	smartseq_BladderTissue_bladder_cell_442
443		smartseq_BladderTissue_bladder_cell_443
444		smartseq_BladderTissue_bladder_cell_444
445	SRR6520783	smartseq_BladderTissue_bladder_cell_445
446	SRR6519867	smartseq_BladderTissue_bladder_urothelial_cell_446
447		smartseq_BladderTissue_bladder_cell_447
448		smartseq_BladderTissue_bladder_cell_448
449	SRR6520803	smartseq_BladderTissue_bladder_urothelial_cell_449
450	SRR6519889	smartseq_BladderTissue_bladder_urothelial_cell_450
451		smartseq_BladderTissue_bladder_cell_451
452		smartseq_BladderTissue_bladder_cell_452
453	SRR6520805	smartseq_BladderTissue_bladder_urothelial_cell_453
454		smartseq_BladderTissue_bladder_cell_454
455		smartseq_BladderTissue_bladder_cell_455
456	SRR6520807	smartseq_BladderTissue_bladder_urothelial_cell_456
457		smartseq_BladderTissue_bladder_cell_457
458	SRR6520809	smartseq_BladderTissue_bladder_urothelial_cell_458
459	SRR6519911	smartseq_BladderTissue_bladder_cell_459
460		smartseq_BladderTissue_bladder_cell_460
461		smartseq_BladderTissue_bladder_cell_461
462	SRR6520812	smartseq_BladderTissue_bladder_urothelial_cell_462
463	SRR6519933	smartseq_BladderTissue_bladder_cell_463
464	SRR6519659	smartseq_BladderTissue_bladder_urothelial_cell_464
465		smartseq_BladderTissue_bladder_urothelial_cell_465
466		smartseq_BladderTissue_bladder_urothelial_cell_466
467	SRR6520814	smartseq_BladderTissue_bladder_urothelial_cell_467
468	SRR6519956	smartseq_BladderTissue_bladder_cell_468
469		smartseq_BladderTissue_bladder_urothelial_cell_469
470		smartseq_BladderTissue_bladder_urothelial_cell_470
471	SRR6520816	smartseq_BladderTissue_bladder_urothelial_cell_471
472		smartseq_BladderTissue_bladder_urothelial_cell_472
473		smartseq_BladderTissue_bladder_urothelial_cell_473
474	SRR6520818	smartseq_BladderTissue_bladder_urothelial_cell_474
475		smartseq_BladderTissue_bladder_urothelial_cell_475
476		smartseq_BladderTissue_bladder_urothelial_cell_476
477	SRR6520820	smartseq_BladderTissue_bladder_urothelial_cell_477
